trip_id,arrival_time,departure_time,stop_id,stop_sequence
naha11down_trip_11,13:30:00,13:30:00,S3454,16
naha11down_trip_11,13:30:00,13:30:00,S1951,17
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_18,18
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_19,19
naha11down_trip_11,13:30:00,13:30:00,S4128,20
naha11down_trip_11,13:30:00,13:30:00,S3395,21
naha11down_trip_11,13:30:00,13:30:00,S4137,22
naha11down_trip_11,13:30:00,13:30:00,S3466,23
naha11down_trip_11,13:30:00,13:30:00,S3813,24
naha11down_trip_11,13:30:00,13:30:00,S3988,25
naha11down_trip_11,13:30:00,13:30:00,S2787,26
naha11down_trip_11,13:30:00,13:30:00,S2789,27
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_28,28
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_29,29
naha11down_trip_11,13:30:00,13:30:00,S4087,30
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_31,31
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_32,32
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_33,33
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_34,34
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_35,35
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_36,36
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_37,37
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_38,38
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_39,39
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_40,40
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_41,41
naha11down_trip_11,13:30:00,13:30:00,naha11down_stop_42,42
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_1,1
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_2,2
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_3,3
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_4,4
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_5,5
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_6,6
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_7,7
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_8,8
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_9,9
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_10,10
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_11,11
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_12,12
naha11down_trip_12,14:12:00,14:12:00,S4388,13
naha11down_trip_12,14:12:00,14:12:00,S3617,14
naha11down_trip_12,14:12:00,14:12:00,S4385,15
naha11down_trip_12,14:12:00,14:12:00,S3454,16
naha11down_trip_12,14:12:00,14:12:00,S1951,17
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_18,18
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_19,19
naha11down_trip_12,14:12:00,14:12:00,S4128,20
naha11down_trip_12,14:12:00,14:12:00,S3395,21
naha11down_trip_12,14:12:00,14:12:00,S4137,22
naha11down_trip_12,14:12:00,14:12:00,S3466,23
naha11down_trip_12,14:12:00,14:12:00,S3813,24
naha11down_trip_12,14:12:00,14:12:00,S3988,25
naha11down_trip_12,14:12:00,14:12:00,S2787,26
naha11down_trip_12,14:12:00,14:12:00,S2789,27
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_28,28
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_29,29
naha11down_trip_12,14:12:00,14:12:00,S4087,30
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_31,31
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_32,32
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_33,33
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_34,34
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_35,35
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_36,36
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_37,37
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_38,38
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_39,39
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_40,40
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_41,41
naha11down_trip_12,14:12:00,14:12:00,naha11down_stop_42,42
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_1,1
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_2,2
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_3,3
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_4,4
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_5,5
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_6,6
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_7,7
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_8,8
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_9,9
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_10,10
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_11,11
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_12,12
naha11down_trip_13,14:57:00,14:57:00,S4388,13
naha11down_trip_13,14:57:00,14:57:00,S3617,14
naha11down_trip_13,14:57:00,14:57:00,S4385,15
naha11down_trip_13,14:57:00,14:57:00,S3454,16
naha11down_trip_13,14:57:00,14:57:00,S1951,17
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_18,18
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_19,19
naha11down_trip_13,14:57:00,14:57:00,S4128,20
naha11down_trip_13,14:57:00,14:57:00,S3395,21
naha11down_trip_13,14:57:00,14:57:00,S4137,22
naha11down_trip_13,14:57:00,14:57:00,S3466,23
naha11down_trip_13,14:57:00,14:57:00,S3813,24
naha11down_trip_13,14:57:00,14:57:00,S3988,25
naha11down_trip_13,14:57:00,14:57:00,S2787,26
naha11down_trip_13,14:57:00,14:57:00,S2789,27
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_28,28
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_29,29
naha11down_trip_13,14:57:00,14:57:00,S4087,30
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_31,31
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_32,32
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_33,33
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_34,34
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_35,35
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_36,36
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_37,37
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_38,38
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_39,39
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_40,40
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_41,41
naha11down_trip_13,14:57:00,14:57:00,naha11down_stop_42,42
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_1,1
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_2,2
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_3,3
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_4,4
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_5,5
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_6,6
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_7,7
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_8,8
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_9,9
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_10,10
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_11,11
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_12,12
naha11down_trip_14,15:34:00,15:34:00,S4388,13
naha11down_trip_14,15:34:00,15:34:00,S3617,14
naha11down_trip_14,15:34:00,15:34:00,S4385,15
naha11down_trip_14,15:34:00,15:34:00,S3454,16
naha11down_trip_14,15:34:00,15:34:00,S1951,17
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_18,18
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_19,19
naha11down_trip_14,15:34:00,15:34:00,S4128,20
naha11down_trip_14,15:34:00,15:34:00,S3395,21
naha11down_trip_14,15:34:00,15:34:00,S4137,22
naha11down_trip_14,15:34:00,15:34:00,S3466,23
naha11down_trip_14,15:34:00,15:34:00,S3813,24
naha11down_trip_14,15:34:00,15:34:00,S3988,25
naha11down_trip_14,15:34:00,15:34:00,S2787,26
naha11down_trip_14,15:34:00,15:34:00,S2789,27
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_28,28
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_29,29
naha11down_trip_14,15:34:00,15:34:00,S4087,30
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_31,31
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_32,32
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_33,33
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_34,34
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_35,35
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_36,36
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_37,37
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_38,38
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_39,39
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_40,40
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_41,41
naha11down_trip_14,15:34:00,15:34:00,naha11down_stop_42,42
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_1,1
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_2,2
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_3,3
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_4,4
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_5,5
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_6,6
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_7,7
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_8,8
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_9,9
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_10,10
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_11,11
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_12,12
naha11down_trip_15,16:17:00,16:17:00,S4388,13
naha11down_trip_15,16:17:00,16:17:00,S3617,14
naha11down_trip_15,16:17:00,16:17:00,S4385,15
naha11down_trip_15,16:17:00,16:17:00,S3454,16
naha11down_trip_15,16:17:00,16:17:00,S1951,17
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_18,18
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_19,19
naha11down_trip_15,16:17:00,16:17:00,S4128,20
naha11down_trip_15,16:17:00,16:17:00,S3395,21
naha11down_trip_15,16:17:00,16:17:00,S4137,22
naha11down_trip_15,16:17:00,16:17:00,S3466,23
naha11down_trip_15,16:17:00,16:17:00,S3813,24
naha11down_trip_15,16:17:00,16:17:00,S3988,25
naha11down_trip_15,16:17:00,16:17:00,S2787,26
naha11down_trip_15,16:17:00,16:17:00,S2789,27
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_28,28
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_29,29
naha11down_trip_15,16:17:00,16:17:00,S4087,30
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_31,31
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_32,32
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_33,33
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_34,34
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_35,35
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_36,36
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_37,37
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_38,38
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_39,39
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_40,40
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_41,41
naha11down_trip_15,16:17:00,16:17:00,naha11down_stop_42,42
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_1,1
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_2,2
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_3,3
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_4,4
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_5,5
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_6,6
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_7,7
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_8,8
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_9,9
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_10,10
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_11,11
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_12,12
naha11down_trip_16,16:55:00,16:55:00,S4388,13
naha11down_trip_16,16:55:00,16:55:00,S3617,14
naha11down_trip_16,16:55:00,16:55:00,S4385,15
naha11down_trip_16,16:55:00,16:55:00,S3454,16
naha11down_trip_16,16:55:00,16:55:00,S1951,17
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_18,18
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_19,19
naha11down_trip_16,16:55:00,16:55:00,S4128,20
naha11down_trip_16,16:55:00,16:55:00,S3395,21
naha11down_trip_16,16:55:00,16:55:00,S4137,22
naha11down_trip_16,16:55:00,16:55:00,S3466,23
naha11down_trip_16,16:55:00,16:55:00,S3813,24
naha11down_trip_16,16:55:00,16:55:00,S3988,25
naha11down_trip_16,16:55:00,16:55:00,S2787,26
naha11down_trip_16,16:55:00,16:55:00,S2789,27
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_28,28
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_29,29
naha11down_trip_16,16:55:00,16:55:00,S4087,30
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_31,31
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_32,32
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_33,33
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_34,34
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_35,35
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_36,36
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_37,37
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_38,38
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_39,39
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_40,40
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_41,41
naha11down_trip_16,16:55:00,16:55:00,naha11down_stop_42,42
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_1,1
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_2,2
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_3,3
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_4,4
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_5,5
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_6,6
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_7,7
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_8,8
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_9,9
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_10,10
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_11,11
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_12,12
naha11down_trip_17,17:32:00,17:32:00,S4388,13
naha11down_trip_17,17:32:00,17:32:00,S3617,14
naha11down_trip_17,17:32:00,17:32:00,S4385,15
naha11down_trip_17,17:32:00,17:32:00,S3454,16
naha11down_trip_17,17:32:00,17:32:00,S1951,17
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_18,18
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_19,19
naha11down_trip_17,17:32:00,17:32:00,S4128,20
naha11down_trip_17,17:32:00,17:32:00,S3395,21
naha11down_trip_17,17:32:00,17:32:00,S4137,22
naha11down_trip_17,17:32:00,17:32:00,S3466,23
naha11down_trip_17,17:32:00,17:32:00,S3813,24
naha11down_trip_17,17:32:00,17:32:00,S3988,25
naha11down_trip_17,17:32:00,17:32:00,S2787,26
naha11down_trip_17,17:32:00,17:32:00,S2789,27
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_28,28
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_29,29
naha11down_trip_17,17:32:00,17:32:00,S4087,30
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_31,31
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_32,32
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_33,33
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_34,34
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_35,35
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_36,36
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_37,37
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_38,38
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_39,39
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_40,40
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_41,41
naha11down_trip_17,17:32:00,17:32:00,naha11down_stop_42,42
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_1,1
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_2,2
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_3,3
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_4,4
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_5,5
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_6,6
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_7,7
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_8,8
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_9,9
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_10,10
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_11,11
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_12,12
naha11down_trip_18,18:08:00,18:08:00,S4388,13
naha11down_trip_18,18:08:00,18:08:00,S3617,14
naha11down_trip_18,18:08:00,18:08:00,S4385,15
naha11down_trip_18,18:08:00,18:08:00,S3454,16
naha11down_trip_18,18:08:00,18:08:00,S1951,17
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_18,18
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_19,19
naha11down_trip_18,18:08:00,18:08:00,S4128,20
naha11down_trip_18,18:08:00,18:08:00,S3395,21
naha11down_trip_18,18:08:00,18:08:00,S4137,22
naha11down_trip_18,18:08:00,18:08:00,S3466,23
naha11down_trip_18,18:08:00,18:08:00,S3813,24
naha11down_trip_18,18:08:00,18:08:00,S3988,25
naha11down_trip_18,18:08:00,18:08:00,S2787,26
naha11down_trip_18,18:08:00,18:08:00,S2789,27
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_28,28
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_29,29
naha11down_trip_18,18:08:00,18:08:00,S4087,30
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_31,31
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_32,32
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_33,33
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_34,34
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_35,35
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_36,36
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_37,37
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_38,38
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_39,39
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_40,40
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_41,41
naha11down_trip_18,18:08:00,18:08:00,naha11down_stop_42,42
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_1,1
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_2,2
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_3,3
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_4,4
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_5,5
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_6,6
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_7,7
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_8,8
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_9,9
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_10,10
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_11,11
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_12,12
naha11down_trip_19,18:46:00,18:46:00,S4388,13
naha11down_trip_19,18:46:00,18:46:00,S3617,14
naha11down_trip_19,18:46:00,18:46:00,S4385,15
naha11down_trip_19,18:46:00,18:46:00,S3454,16
naha11down_trip_19,18:46:00,18:46:00,S1951,17
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_18,18
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_19,19
naha11down_trip_19,18:46:00,18:46:00,S4128,20
naha11down_trip_19,18:46:00,18:46:00,S3395,21
naha11down_trip_19,18:46:00,18:46:00,S4137,22
naha11down_trip_19,18:46:00,18:46:00,S3466,23
naha11down_trip_19,18:46:00,18:46:00,S3813,24
naha11down_trip_19,18:46:00,18:46:00,S3988,25
naha11down_trip_19,18:46:00,18:46:00,S2787,26
naha11down_trip_19,18:46:00,18:46:00,S2789,27
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_28,28
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_29,29
naha11down_trip_19,18:46:00,18:46:00,S4087,30
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_31,31
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_32,32
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_33,33
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_34,34
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_35,35
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_36,36
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_37,37
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_38,38
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_39,39
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_40,40
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_41,41
naha11down_trip_19,18:46:00,18:46:00,naha11down_stop_42,42
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_1,1
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_2,2
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_3,3
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_4,4
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_5,5
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_6,6
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_7,7
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_8,8
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_9,9
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_10,10
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_11,11
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_12,12
naha11down_trip_20,19:24:00,19:24:00,S4388,13
naha11down_trip_20,19:24:00,19:24:00,S3617,14
naha11down_trip_20,19:24:00,19:24:00,S4385,15
naha11down_trip_20,19:24:00,19:24:00,S3454,16
naha11down_trip_20,19:24:00,19:24:00,S1951,17
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_18,18
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_19,19
naha11down_trip_20,19:24:00,19:24:00,S4128,20
naha11down_trip_20,19:24:00,19:24:00,S3395,21
naha11down_trip_20,19:24:00,19:24:00,S4137,22
naha11down_trip_20,19:24:00,19:24:00,S3466,23
naha11down_trip_20,19:24:00,19:24:00,S3813,24
naha11down_trip_20,19:24:00,19:24:00,S3988,25
naha11down_trip_20,19:24:00,19:24:00,S2787,26
naha11down_trip_20,19:24:00,19:24:00,S2789,27
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_28,28
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_29,29
naha11down_trip_20,19:24:00,19:24:00,S4087,30
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_31,31
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_32,32
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_33,33
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_34,34
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_35,35
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_36,36
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_37,37
naha11down_trip_20,19:24:00,19:24:00,naha11down_stop_38,38
